Features,MSE,RMSE,R2
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'Day', 'Month', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",305.5912811867513,17.481169331218986,0.980693877426253
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",306.4193135060815,17.504836860310395,0.9806415654185612
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'MA_20', 'MA_50', 'MA_100', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",312.3911346078024,17.674590083161828,0.980264287932991
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'MA_20', 'MA_50', 'MA_100', 'Day', 'Month', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",347.66287373745513,18.645719984421497,0.9780359504084981
"['Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",354.23728897420017,18.82119254920368,0.977620603262734
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'MA_20', 'MA_50', 'MA_100', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",366.22122573131657,19.13690742338784,0.9768635026312944
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'Day', 'Month', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",388.46415441098435,19.709494017122417,0.9754582769788441
"['High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'MA_20', 'MA_50', 'MA_100', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",398.3707718751741,19.959227737444504,0.9748324136678487
"['High_lag_1', 'High_lag_2', 'High_lag_3', 'High_lag_4', 'High_lag_5', 'High_lag_6', 'High_lag_7', 'High_lag_8', 'High_lag_9', 'High_lag_10', 'Low_lag_1', 'Low_lag_2', 'Low_lag_3', 'Low_lag_4', 'Low_lag_5', 'Low_lag_6', 'Low_lag_7', 'Low_lag_8', 'Low_lag_9', 'Low_lag_10', 'Day', 'Month', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",412.7308299180344,20.315777856583153,0.9739251985154237
"['Open_lag_1', 'Open_lag_2', 'Open_lag_3', 'Open_lag_4', 'Open_lag_5', 'Open_lag_6', 'Open_lag_7', 'Open_lag_8', 'Open_lag_9', 'Open_lag_10', 'MA_20', 'MA_50', 'MA_100', 'Close_lag_1', 'Close_lag_2', 'Close_lag_3', 'Close_lag_4', 'Close_lag_5', 'Close_lag_6', 'Close_lag_7', 'Close_lag_8', 'Close_lag_9', 'Close_lag_10']",441.862419622977,21.020523771375846,0.9720847728349933
